Name,Categories,Brand,Order Number,Order Status,Order Date,City (Shipping),State Code (Shipping),Postcode (Shipping),Payment Method Title,Cart Discount Amount,Order Subtotal Amount,Shipping Method Title,Order Shipping Amount,Order Total Amount,Item #,Quantity (- Refund),Item Cost
Grey DIN 90 Degree Elbow - 20mm,,Sanking Plumbing,14294,Completed,1/03/2021 17:48,Kellyville,NSW,2155,PayPal,0,31.2,Flat rate,9.99,41.19,4,1,3
Red DIN Pagoda Socket Joints - 20mm,,Sanking Plumbing,14294,Completed,1/03/2021 17:48,Kellyville,NSW,2155,PayPal,0,31.2,Flat rate,9.99,41.19,2,2,6
Grey DIN UPVC Reducer Coupling - 32mm-&gt;20mm,,Sanking Plumbing,14294,Completed,1/03/2021 17:48,Kellyville,NSW,2155,PayPal,0,31.2,Flat rate,9.99,41.19,1,2,3.5
Grey DIN UPVC Pipe Per Metre - 32mm,,Sanking Plumbing,14294,Completed,1/03/2021 17:48,Kellyville,NSW,2155,PayPal,0,31.2,Flat rate,9.99,41.19,3,1,9.2
Aquamedic Scraper 15cm,Accessories > Scraper,Aqua Medic,14296,Completed,2/03/2021 13:03,Beldon,WA,6027,PayPal,0,49.98,Flat rate,9.99,59.97,1,1,49.98
Quantum Black Beard Remover 500ml,Chemicals > Freshwater Supplements,Quantum,14300,Completed,2/03/2021 19:58,yatala,QLD,4207,PayPal,0,24.98,Flat rate,9.99,34.97,1,1,24.98
"Quantum Reef Essential 1000ml Aragonite B - Carbonate, Hydrogen Carbonate, Buffer",Chemicals > Marine Supplements,Quantum,14304,Completed,4/03/2021 12:59,Belmore River,NSW,2440,Afterpay,0,159.99,Flat rate,9.99,169.98,1,1,39.99
Quantum Reef Essential LPS Macro Probiotic Salt 22kg Bucket,"Heavy & Bulky, Marine Salts",Quantum,14304,Completed,4/03/2021 12:59,Belmore River,NSW,2440,Afterpay,0,159.99,Flat rate,9.99,169.98,2,1,120
Aqua One Glass Heater 100W,Heaters,Aqua One,14306,Completed,4/03/2021 14:25,Wallalong,NSW,2320,Afterpay,0,69,Flat rate,9.99,78.99,2,1,25
"Waterbox 2.75"" Filter Sock 225 Micron Felt","Accessories > Filter Socks, Filter Media > Filter Socks",Waterbox,14306,Completed,4/03/2021 14:25,Wallalong,NSW,2320,Afterpay,0,69,Flat rate,9.99,78.99,1,2,22
Grey DIN Ball Valve - 20mm,,Sanking Plumbing,14308,Completed,5/03/2021 13:15,mt evelyn,VIC,3796,PayPal,0,46.5,Flat rate,9.99,56.49,2,1,15
Grey DIN Tee - 20mm,,Sanking Plumbing,14308,Completed,5/03/2021 13:15,mt evelyn,VIC,3796,PayPal,0,46.5,Flat rate,9.99,56.49,1,1,2.5
Aqua One Hose 16/22mm - Per Metre,Accessories > Hose & Tubing,Aqua One,14308,Completed,5/03/2021 13:15,mt evelyn,VIC,3796,PayPal,0,46.5,Flat rate,9.99,56.49,4,3,6
Klir 50 Micron Fleece Roll for Di-4,Rollermat,Klir,14314,Completed,5/03/2021 20:27,Hawker,ACT,2614,PayPal,0,76,Flat rate,9.99,85.99,1,2,38
Aqua One Veggie Clip With Suction Cup 6.6cm 23209,Accessories,Aqua One,14316,Completed,6/03/2021 12:03,Leichhardt,NSW,4046,PayPal,0,49.9,Flat rate,9.99,59.89,3,2,5.98
Grey DIN UPVC Pipe Per Metre - 20mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,2,1,5.75
Grey DIN 45 Degree Elbow - 20mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,13,2,2
Grey DIN 90 Degree Elbow - 20mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,7,3,3
Grey DIN Pipe Clip - 20mm(DN15),,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,10,1,1.5
Grey DIN Pipe Clip - 25mm(DN20),,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,11,1,2
Grey DIN Pipe Clip - 32mm(DN25),,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,12,1,2.5
Grey DIN UPVC Reducer Coupling - 25mm-&gt;20mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,9,2,2.5
"Black DIN Outlet Nozzle - 20mm, Duckbill",,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,5,1,20
"Black DIN Outlet Nozzle - 25mm, Duckbill",,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,6,1,25
Grey DIN UPVC Pipe Per Metre - 25mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,3,2,6.9
Grey DIN 45 Degree Elbow - 25mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,1,4,4
Grey DIN 90 Degree Elbow - 25mm,,Sanking Plumbing,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,8,4,6
Grey DIN UPVC Coupling - 25mm,,,14317,Completed,8/03/2021 16:11,NARELLAN VALE,NSW,2567,humm,0,133.55,Flat rate,9.99,143.54,4,1,5
Ecotech Marine L2 Barb &amp; Screen Kit,Return Pumps,Ecotech Marine,14318,Completed,8/03/2021 16:52,Fadden,ACT,2904,PayPal,0,34.98,Flat rate,9.99,44.97,1,1,34.98
Reef Essential Low Range LR Nitrate Remover 1000ml,Chemicals > Marine Supplements,Quantum,14694,Completed,11/03/2021 13:12,Rutherford,NSW,2320,PayPal,0,79.98,Flat rate,9.99,89.97,1,1,39.99
Reef Essentials Phosphate Remover 1 litre,Chemicals > Marine Supplements,Quantum,14694,Completed,11/03/2021 13:12,Rutherford,NSW,2320,PayPal,0,79.98,Flat rate,9.99,89.97,2,1,39.99
"Black DIN Outlet Nozzle - 20mm, Duckbill",,Sanking Plumbing,14758,Completed,11/03/2021 21:00,Prospect,SA,5082,PayPal,0,20,Flat rate,9.99,29.99,1,1,20
Grey DIN Tee - 25mm,,Sanking Plumbing,14790,Completed,12/03/2021 13:31,REGENTS PARK,QLD,4118,PayPal,0,17.5,Flat rate,9.99,27.49,1,5,3.5
SeaTorch Filter Bag Holders - LJ-200,,SeaTorch,14827,Completed,14/03/2021 1:58,Murrumba Downs,QLD,4503,"Zip now, pay later",0,89,Flat rate,9.99,98.99,1,1,89
Mantis Skimmer Tornado - Mantis Skimmer Tornado 120,,Mantis,14838,Completed,16/03/2021 11:30,Ivanhoe,VIC,3079,PayPal,0,445,Flat rate,9.99,454.99,1,1,445
Silicone Hose Per/M - 16-22mm,,Sanking Plumbing,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,7,1,30
Grey DIN 90 Degree Elbow - 25mm,,Sanking Plumbing,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,3,3,6
Grey DIN Tee - 25mm,,Sanking Plumbing,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,1,1,3.5
Grey DIN True Union Ball Valve - 25mm,,,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,5,1,40
Red DIN UPVC Pipe Per Metre - 25mm,,,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,2,2,13
Grey DIN Ball Valve - 25mm,,,14843,Completed,18/03/2021 22:47,Ulladulla,NSW,2539,PayPal,0,191,Flat rate,9.99,200.99,4,1,20
Aqua One Net Breeder Large,Accessories > Breeding Accessories,Aqua One,14846,Completed,19/03/2021 14:00,Lalor Park,NSW,2147,Afterpay,0,55.94,Local Pick-Up Only,0,55.94,3,1,9.99
API Stress Coat 237ml,Chemicals > Freshwater Supplements,API,14846,Completed,19/03/2021 14:00,Lalor Park,NSW,2147,Afterpay,0,55.94,Local Pick-Up Only,0,55.94,1,1,14.99
API Stress Zyme 118ml,Chemicals > Freshwater Supplements,API,14846,Completed,19/03/2021 14:00,Lalor Park,NSW,2147,Afterpay,0,55.94,Local Pick-Up Only,0,55.94,2,1,12.98
Quantum Water Primer 250ml,"Chemicals > Freshwater Supplements, Chemicals > Marine Supplements",Quantum,14846,Completed,19/03/2021 14:00,Lalor Park,NSW,2147,Afterpay,0,55.94,Local Pick-Up Only,0,55.94,4,1,17.98
SICCE Voyager Syncra SILENT 2.5,Return Pumps,Sicce,14902,Completed,21/03/2021 17:55,Liverpool,NSW,2170,PayPal,0,119,Flat rate,9.99,128.99,1,1,119
Aquael COMFORT ZONE GOLD 500w - Dual Element,Heaters,Aquael,14916,Completed,22/03/2021 15:41,Bexley,NSW,2207,PayPal,0,250,Flat rate,9.99,259.99,1,2,125
Aqua One Maxi Powerhead 101,Powerheads,Aqua One,14918,Completed,22/03/2021 23:44,KALKALLO,VIC,3064,Afterpay,0,80,Flat rate,9.99,89.99,1,5,16
New Life Spectrum Thera+A Regular Sinking 1.0-1.5mm 600g,"Fish Food > Freshwater, Fish Food > Marine",New Life Spectrum,14919,Completed,23/03/2021 22:36,Rutherford,NSW,2320,PayPal,0,140.95,Flat rate,9.99,150.94,3,1,54.99
Aqua One Vege Wafer Food 200g,Fish Food > Freshwater,Aqua One,14919,Completed,23/03/2021 22:36,Rutherford,NSW,2320,PayPal,0,140.95,Flat rate,9.99,150.94,2,1,14.98
"Waterbox 2.75"" Filter Sock 225 Micron Felt","Accessories > Filter Socks, Filter Media > Filter Socks",Waterbox,14919,Completed,23/03/2021 22:36,Rutherford,NSW,2320,PayPal,0,140.95,Flat rate,9.99,150.94,1,2,22
Grey DIN UPVC Pipe Per Metre - 20mm,,Sanking Plumbing,14920,Completed,24/03/2021 8:05,Dongara,WA,6525,PayPal,0,35.25,Flat rate,9.99,45.24,1,3,5.75
Grey DIN 90 Degree Elbow - 20mm,,Sanking Plumbing,14920,Completed,24/03/2021 8:05,Dongara,WA,6525,PayPal,0,35.25,Flat rate,9.99,45.24,2,6,3
Grey DIN True Union Ball Valve - 20mm,,Sanking Plumbing,14921,Completed,24/03/2021 11:21,Brunswick Heads,NSW,2483,PayPal,0,172,Flat rate,9.99,181.99,2,4,35
Red DIN UPVC Pipe Per Metre - 32mm,,Sanking Plumbing,14921,Completed,24/03/2021 11:21,Brunswick Heads,NSW,2483,PayPal,0,172,Flat rate,9.99,181.99,1,2,16
Aqua One 70mm x 15mm Ceramic Air Stone - 2 Pack,Aeration > Air Stones,Aqua One,14963,Completed,26/03/2021 10:17,UNIVERSITY OF QUEENSLAND,QLD,4072,PayPal,0,19.96,Flat rate,9.99,29.95,1,2,9.98
"Waterbox 4"" Filter Sock 225 Micron Mesh","Accessories > Filter Socks, Filter Media > Filter Socks",Waterbox,14986,Completed,28/03/2021 11:46,Edgeworth,NSW,2285,PayPal,0,44,Flat rate,9.99,53.99,1,2,22
Pokpo Genesis Overflow Dual Kit,Plumbing > DIN/Metric Plumbing,Pokpo,14989,Completed,28/03/2021 23:43,REGENCY DOWNS,QLD,4341,Afterpay,0,99.99,Flat rate,9.99,109.98,1,1,99.99
Quantum Reef Essential LPS Macro Probiotic Salt 20kg Box,"Heavy & Bulky, Marine Salts",Quantum,14990,Completed,29/03/2021 11:45,Marsden Park,NSW,2765,PayPal,0,99.98,Flat rate,9.99,109.97,1,1,99.98
SeaTorch Filter Bag Holders - LJ-300,,SeaTorch,14993,Completed,29/03/2021 18:52,Caversham,WA,6055,PayPal,0,218,Flat rate,9.99,227.99,1,2,109
Aqua One AquaFill Automatic Top Up Unit For Sump Systems,Automatic Top Up Systems,Aqua One,14994,Completed,29/03/2021 21:15,Hurstville,NSW,2220,"Zip now, pay later",0,219.99,Flat rate,9.99,229.98,1,1,99.99
CO2Art Pro SE - CO2 Dual Stage Regulator with Solenoid SE W21,co2 > Regulators & Solenoids,co2 Art,14996,Completed,29/03/2021 22:39,Ballarat north,VIC,3350,"Zip now, pay later",0,250,Flat rate,9.99,259.99,1,1,250
Silicone Hose (Premium Medical Grade) Per/M,"Plumbing > DIN/Metric Plumbing, Plumbing",Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,4,2,15
Grey DIN UPVC Pipe Per Metre - 32mm,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,3,2,9.2
Grey DIN 45 Degree Elbow - 32mm,,Sanking Plumbing,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,2,6,6
Grey DIN UPVC Reducer Coupling - 40mm-&gt;32mm,,,15051,Completed,30/03/2021 14:18,salamander bay,NSW,2317,PayPal,0,120.4,Flat rate,9.99,130.39,1,1,6
Grey DIN Gate Valve - 32mm,,Sanking Plumbing,15052,Completed,30/03/2021 20:37,Dianella,WA,6059,PayPal,0,120,Flat rate,9.99,129.99,1,1,120
SeaTorch Filter Bag Holders - LJ-100,,SeaTorch,15054,Completed,31/03/2021 10:48,Bald Hills,QLD,4036,PayPal,0,69,Flat rate,9.99,78.99,1,1,69
Mantis Skimmer Tornado - Mantis Skimmer Tornado 120,,Mantis,15061,Completed,1/04/2021 12:41,darlinghurst,NSW,2010,PayPal,0,445,Flat rate,9.99,454.99,1,1,445
SeaTorch Filter Bag Holders - LJ-100,,SeaTorch,15062,Completed,1/04/2021 13:09,Franklin,ACT,2913,PayPal,0,69,Flat rate,9.99,78.99,1,1,69
Grey DIN 90 Degree Elbow - 32mm,,Sanking Plumbing,15064,Completed,1/04/2021 15:10,Caloundra west,QLD,4551,"Zip now, pay later",0,8,Flat rate,9.99,17.99,1,1,8
White DIN Coupling - 40mm,,Sanking Plumbing,15068,Completed,2/04/2021 15:21,Caloundra west,QLD,4551,Afterpay,0,41.2,Flat rate,9.99,51.19,1,4,10.3
Ecotech Marine S2 Barb &amp; Screen Kit,Return Pumps,Ecotech Marine,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,1,1,34.98
Silicone Hose (Premium Medical Grade) Per/M,"Plumbing > DIN/Metric Plumbing, Plumbing",Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Silicone Hose (Premium Medical Grade) Per/M,,Sanking Plumbing,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,2,1,15
Grey DIN UPVC Coupling - 25mm,,,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,4,4,5
Grey DIN UPVC Reducer Coupling - 32mm-&gt;25mm,,,15072,Completed,3/04/2021 17:19,WYNDHAM VALE,VIC,3024,PayPal,0,99.98,Flat rate,9.99,109.97,5,1,4
Aqua One ClearView 500 Hang On Filter,Filters > Hang On Filters,Aqua One,15073,Completed,3/04/2021 23:46,southern river,WA,6110,PayPal,0,55.96,Flat rate,9.99,65.95,1,1,37.99
Aqua One Midi Float Guppy Tank Large 1.2L,Accessories > Breeding Accessories,Aqua One,15073,Completed,3/04/2021 23:46,southern river,WA,6110,PayPal,0,55.96,Flat rate,9.99,65.95,2,1,9.99
Aqua One ClearView 200 Hang On Filter,Filters > Hang On Filters,Aqua One,15074,Completed,4/04/2021 7:37,Liverpool,NSW,2170,humm,0,55.98,Flat rate,9.99,65.97,3,1,28
"Black DIN Outlet Nozzle - 20mm, Duckbill",,Sanking Plumbing,15076,Completed,5/04/2021 20:59,LOTA,QLD,4179,PayPal,0,20,Flat rate,9.99,29.99,1,1,20
EcoTech Marine Coral Glue 75ml,Coral Propagation > Coral Glue,Ecotech Marine,15077,Completed,6/04/2021 0:15,Hampton park,VIC,3976,PayPal,0,36,Flat rate,9.99,45.99,1,1,36
MiniReef 215 Marine Set - Black,,Aqua One,15078,Completed,6/04/2021 6:50,Liverpool,NSW,2170,humm,0,1199.99,Local Pick-Up Only,0,1199.99,1,1,1199.99
Master Soil Next HG Black 8L,"Heavy & Bulky, Substrates > Plant Substrate",MasterSoil,15081,Completed,7/04/2021 14:46,Glenwood,NSW,2768,PayPal,0,42,Local Pick-Up Only,0,42,1,1,42
Aqua One ClearView 500 Hang On Filter,Filters > Hang On Filters,Aqua One,15123,Completed,8/04/2021 15:04,Strathfield,NSW,2035,PayPal,0,94.98,Local Pick-Up Only,0,94.98,1,2,37.99
Aqua One Premium Ceramic Noodles 1.2kg,Filter Media > Biological Media,Aqua One,15123,Completed,8/04/2021 15:04,Strathfield,NSW,2035,PayPal,0,94.98,Local Pick-Up Only,0,94.98,2,1,19
EcoTech Marine RMS XR30 Tank Mount,Lighting > Stands / Mounts / Hanging Kits / Cables,Ecotech Marine,15168,Completed,9/04/2021 19:24,Melbourne,VIC,3000,PayPal,0,139.98,Flat rate,9.99,149.97,1,1,139.98
CO2Art Pro SE - CO2 Dual Stage Regulator with Solenoid SE W21,co2 > Regulators & Solenoids,co2 Art,15170,Completed,10/04/2021 13:05,meridan plains,QLD,4551,humm,0,250,Flat rate,9.99,259.99,1,1,250
