Order Number,Orderdate,Ordertotalamount,Quantityordered,State,Shipping Method Title
95599,9/12/2023 22:58,94.5,1,Western Australia,Flat rate
95598,9/12/2023 21:00,87.5,1,New South Wales,Flat rate
95597,9/12/2023 20:42,89.5,2,Australian Capital Territory,Flat rate
95595,9/12/2023 15:05,128.5,1,Queensland,Flat rate
95594,9/12/2023 10:24,54.5,1,Victoria,Flat rate
95593,8/12/2023 23:32,128.46,1,Victoria,Flat rate
95593,8/12/2023 23:32,128.46,1,Victoria,Flat rate
95593,8/12/2023 23:32,128.46,1,Victoria,Flat rate
95591,8/12/2023 21:13,35.46,2,Victoria,Flat rate
95589,8/12/2023 20:26,65.42,8,New South Wales,Flat rate
95588,8/12/2023 18:36,41.5,2,Victoria,Flat rate
95587,8/12/2023 17:23,27.5,1,New South Wales,Flat rate
95586,8/12/2023 16:20,147.5,2,Victoria,Flat rate
95585,8/12/2023 11:38,570,1,New South Wales,Local pickup
95584,8/12/2023 10:31,173.9,2,Queensland,Free Shipping over $150
95584,8/12/2023 10:31,173.9,1,Queensland,Free Shipping over $150
95584,8/12/2023 10:31,173.9,1,Queensland,Free Shipping over $150
95584,8/12/2023 10:31,173.9,1,Queensland,Free Shipping over $150
95584,8/12/2023 10:31,173.9,1,Queensland,Free Shipping over $150
95568,8/12/2023 7:53,111.5,1,New South Wales,Flat rate
95567,8/12/2023 7:00,101.48,1,New South Wales,Flat rate
95566,8/12/2023 0:24,184,1,Victoria,Free Shipping over $150
95564,7/12/2023 21:48,98.5,1,Queensland,Flat rate
95563,7/12/2023 20:24,41.5,1,New South Wales,Flat rate
95558,7/12/2023 17:13,1870,1,New South Wales,Local pickup
95557,7/12/2023 15:18,106.19,1,New South Wales,Flat rate
95554,7/12/2023 13:38,61.5,1,Victoria,Flat rate
95552,7/12/2023 12:46,320.95,1,Australian Capital Territory,Free Shipping over $150
95552,7/12/2023 12:46,320.95,1,Australian Capital Territory,Free Shipping over $150
95552,7/12/2023 12:46,320.95,1,Australian Capital Territory,Free Shipping over $150
95552,7/12/2023 12:46,320.95,2,Australian Capital Territory,Free Shipping over $150
95552,7/12/2023 12:46,320.95,1,Australian Capital Territory,Free Shipping over $150
95550,7/12/2023 11:40,178,1,New South Wales,Free Shipping over $150
95543,6/12/2023 21:01,250,1,New South Wales,Free Shipping over $150
95542,6/12/2023 20:01,234.96,1,Victoria,Free Shipping over $150
95542,6/12/2023 20:01,234.96,1,Victoria,Free Shipping over $150
95542,6/12/2023 20:01,234.96,1,Victoria,Free Shipping over $150
95541,6/12/2023 19:46,23.99,1,New South Wales,Local pickup
95540,6/12/2023 18:17,144.49,1,New South Wales,Flat rate
95539,6/12/2023 16:47,649,1,New South Wales,Local pickup
95537,6/12/2023 16:11,22.5,1,Queensland,Flat rate
95536,6/12/2023 14:53,165.96,2,Victoria,Free Shipping over $150
95536,6/12/2023 14:53,165.96,4,Victoria,Free Shipping over $150
95536,6/12/2023 14:53,165.96,1,Victoria,Free Shipping over $150
95535,6/12/2023 14:21,94.45,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,4,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,2,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,1,New South Wales,Flat rate
95534,6/12/2023 12:05,303.96,5,New South Wales,Flat rate
95531,6/12/2023 9:44,375,1,New South Wales,Free Shipping over $150
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95530,6/12/2023 2:08,349.81,1,New South Wales,Local pickup
95528,5/12/2023 22:23,71.38,1,Australian Capital Territory,Flat rate
95528,5/12/2023 22:23,71.38,1,Australian Capital Territory,Flat rate
95528,5/12/2023 22:23,71.38,1,Australian Capital Territory,Flat rate
95528,5/12/2023 22:23,71.38,1,Australian Capital Territory,Flat rate
95527,5/12/2023 21:25,129.5,1,Western Australia,Flat rate
95525,5/12/2023 16:05,355.95,1,Queensland,Free Shipping over $150
95525,5/12/2023 16:05,355.95,1,Queensland,Free Shipping over $150
95525,5/12/2023 16:05,355.95,1,Queensland,Free Shipping over $150
95525,5/12/2023 16:05,355.95,1,Queensland,Free Shipping over $150
95525,5/12/2023 16:05,355.95,1,Queensland,Free Shipping over $150
95478,5/12/2023 12:02,42.48,1,Victoria,Flat rate
95470,5/12/2023 1:31,250.75,1,Western Australia,Free Shipping over $150
