Order Number,Order Status,Order Date,Postcode (Billing),City (Shipping),State Code (Shipping),Payment Method Title,Cart Discount Amount,Shipping Method Title,Order Refund Amount,Order Total Amount,Order Total Tax Amount,total items ,Discount Amount,Discount Amount Tax
95539,Processing,6/12/2023,2111,Sydney,NSW,Amex credit card,0,Local Pick-Up Only,0,649,59,1,,
95537,Processing,6/12/2023,4209,Pimpama,QLD,Mastercard debit card,0,Flat rate,0,22.5,1.18,1,,
95536,Processing,6/12/2023,3169,Clayton South,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,165.96,15.1,3,,
95535,Processing,6/12/2023,2229,Dolans Bay,NSW,PayPal / Credit Card / Debit Card,4.545455,Flat rate,0,94.45,7.72,1,4.55,0.45
95534,Processing,6/12/2023,2747,Werrington County,NSW,PayPal / Credit Card / Debit Card,198.709091,Flat rate,0,303.96,26.77,9,198.71,19.87
95531,Completed,6/12/2023,2444,PORT MACQUARIE;NSW,NSW,Visa debit card,0,Free Shipping over $150,0,375,34.09,1,,
95530,Processing,6/12/2023,2155,North Kellyville,NSW,Afterpay,4.545455,Local Pick-Up Only,0,349.81,31.8,8,4.55,0.45
95528,Completed,5/12/2023,2612,Braddon,ACT,Visa debit card,0,Flat rate,0,71.38,5.62,4,,
95527,Completed,5/12/2023,6102,Bentley,WA,Mastercard debit card,0,Flat rate,0,129.5,10.91,1,,
95525,Processing,5/12/2023,4067,Saint Lucia,QLD,Mastercard credit card,0,Free Shipping over $150,0,355.95,32.36,5,,
95478,Completed,5/12/2023,3331,Bannockburn,VIC,Mastercard debit card,0,Flat rate,0,42.48,3,1,,
95470,Completed,5/12/2023,6065,currambine,WA,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,250.75,22.81,6,,
95469,Completed,4/12/2023,6084,Bullsbrook,WA,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,310.99,28.28,2,,
95468,Completed,4/12/2023,4209,Gold Coast,QLD,"Zip now, pay later",0,Flat rate,0,365,29.55,1,,
95467,Completed,4/12/2023,4209,Upper Coomera,QLD,Mastercard debit card,0,Flat rate,0,128.5,10.82,1,,
95449,Completed,4/12/2023,2195,Wiley Park,NSW,humm,0,Free Shipping over $150,0,610,55.45,1,,
95448,Completed,4/12/2023,3195,Parkdale,VIC,Mastercard debit card,2.25,Free Shipping over $150,0,211.44,19.22,3,2.25,0.23
95444,Completed,4/12/2023,4556,Sippy Downs,QLD,Mastercard credit card,39.45,Flat rate,0,49.3,3.62,6,39.45,3.95
95439,Processing,3/12/2023,4034,Griffin,QLD,Mastercard debit card,0,Flat rate,0,39.44,2.72,1,,
95437,Completed,3/12/2023,2073,Pymble,NSW,Amex credit card,0,Flat rate,0,71.47,5.63,2,,
95436,Completed,3/12/2023,2155,North Kellyville,NSW,Afterpay,4.545455,Local Pick-Up Only,0,140,12.73,1,4.55,0.45
95435,Completed,3/12/2023,4878,Holloways Beach,QLD,PayPal / Credit Card / Debit Card,0,Flat rate,0,47.48,3.46,2,,
95434,Completed,2/12/2023,2560,St Helens Park,NSW,"Zip now, pay later",0,Free Shipping over $150,0,162,14.72,5,,
95431,Completed,2/12/2023,3939,FINGAL,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,139.5,11.81,2,,
95430,Completed,2/12/2023,3336,Aintree,VIC,Visa credit card,0,Free Shipping over $150,0,186,16.91,1,,
95429,Processing,2/12/2023,2234,Granville,NSW,Visa credit card,0,Local Pick-Up Only,0,499,45.36,2,,
95428,Processing,2/12/2023,2540,Sanctuary point,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,223,20.27,2,,
95427,Completed,2/12/2023,2517,WOONONA,NSW,Mastercard credit card,4.55,Free Shipping over $150,0,390.98,35.55,3,4.55,0.45
95424,Completed,1/12/2023,2318,Salt Ash,NSW,PayPal / Credit Card / Debit Card,0,Flat rate,0,108.5,9,1,,
95423,Completed,1/12/2023,0800,darwin,NT,Visa debit card,0,Flat rate,0,98.5,8.09,1,,
95422,Completed,1/12/2023,3218,GEELONG WEST,VIC,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,293.63,26.7,5,,
95421,Processing,30/11/2023,2571,Balmoral Village,NSW,PayPal / Credit Card / Debit Card,0,Free Shipping over $150,0,171.62,15.6,5,,
95420,Completed,30/11/2023,2518,Corrimal,NSW,Visa debit card,4.54,Flat rate,0,99.5,8.18,1,4.55,0.45
95419,Pending payment,30/11/2023,4560,NAMBOUR,QLD,humm,0,Flat rate,0,329,26.27,1,,
95418,Completed,30/11/2023,3023,Williams Landing,VIC,Mastercard debit card,0,Free Shipping over $150,0,572,52,1,,
95416,Completed,30/11/2023,3840,Morwell,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,59.5,4.55,1,,
95415,Completed,30/11/2023,3551,EPSOM,VIC,Mastercard debit card,0,Local Pick-Up Only,0,65,5.91,1,,
95413,Completed,30/11/2023,3161,Caulfield North,VIC,PayPal / Credit Card / Debit Card,0,Flat rate,0,59.5,4.55,1,,
